,ID,SN
376,z_5_flares_15_gal_123_alma.fits,7.4
377,z_8_flares_14_gal_000_alma.fits,4.28
378,z_5_flares_08_gal_179_alma.fits,3.37
379,z_5_flares_06_gal_183_alma.fits,15.82
380,z_5_flares_09_gal_185_alma.fits,9.43
381,z_5_flares_14_gal_153_alma.fits,6.1
382,z_5_flares_12_gal_115_alma.fits,5.11
383,z_6_flares_14_gal_100_alma.fits,3.01
384,z_5_flares_15_gal_096_alma.fits,11.97
385,z_7_flares_02_gal_032_alma.fits,4.61
386,z_7_flares_13_gal_005_alma.fits,3.89
387,z_5_flares_16_gal_105_alma.fits,13.16
388,z_5_flares_03_gal_039_alma.fits,3.13
389,z_5_flares_15_gal_053_alma.fits,9.97
390,z_6_flares_11_gal_057_alma.fits,5.43
391,z_5_flares_14_gal_175_alma.fits,8.95
392,z_5_flares_02_gal_098_alma.fits,4.25
393,z_5_flares_12_gal_009_alma.fits,16.51
394,z_6_flares_04_gal_033_alma.fits,4.27
395,z_9_flares_02_gal_010_alma.fits,2.92
396,z_6_flares_07_gal_022_alma.fits,5.09
397,z_5_flares_06_gal_028_alma.fits,3.0
398,z_7_flares_02_gal_025_alma.fits,3.34
399,z_6_flares_17_gal_003_alma.fits,5.76
400,z_6_flares_04_gal_077_alma.fits,5.38
401,z_5_flares_14_gal_099_alma.fits,10.32
402,z_5_flares_01_gal_030_alma.fits,10.73
403,z_5_flares_37_gal_016_alma.fits,5.33
404,z_6_flares_15_gal_023_alma.fits,5.05
405,z_5_flares_08_gal_178_alma.fits,9.06
406,z_5_flares_06_gal_076_alma.fits,4.26
407,z_5_flares_00_gal_190_alma.fits,14.36
408,z_5_flares_09_gal_047_alma.fits,5.79
409,z_6_flares_11_gal_051_alma.fits,4.32
410,z_7_flares_14_gal_030_alma.fits,5.42
411,z_6_flares_07_gal_084_alma.fits,5.67
412,z_5_flares_07_gal_198_alma.fits,6.12
413,z_7_flares_15_gal_031_alma.fits,3.09
414,z_5_flares_10_gal_003_alma.fits,15.35
415,z_7_flares_14_gal_027_alma.fits,11.01
416,z_6_flares_11_gal_089_alma.fits,3.98
417,z_8_flares_13_gal_009_alma.fits,3.3
418,z_6_flares_01_gal_069_alma.fits,11.57
419,z_5_flares_16_gal_102_alma.fits,11.02
420,z_6_flares_10_gal_048_alma.fits,11.01
421,z_6_flares_04_gal_051_alma.fits,3.26
422,z_5_flares_01_gal_167_alma.fits,5.24
423,z_5_flares_02_gal_037_alma.fits,7.98
424,z_7_flares_03_gal_027_alma.fits,3.26
425,z_7_flares_09_gal_019_alma.fits,4.65
426,z_5_flares_08_gal_198_alma.fits,5.43
427,z_5_flares_09_gal_003_alma.fits,9.2
428,z_5_flares_13_gal_093_alma.fits,10.16
429,z_5_flares_05_gal_092_alma.fits,4.7
430,z_5_flares_18_gal_065_alma.fits,8.87
431,z_5_flares_07_gal_082_alma.fits,13.72
432,z_5_flares_05_gal_065_alma.fits,13.95
433,z_5_flares_06_gal_123_alma.fits,6.88
434,z_6_flares_00_gal_074_alma.fits,10.33
435,z_5_flares_05_gal_061_alma.fits,3.76
436,z_5_flares_21_gal_006_alma.fits,7.41
437,z_5_flares_34_gal_000_alma.fits,3.63
438,z_6_flares_04_gal_065_alma.fits,5.94
439,z_6_flares_20_gal_012_alma.fits,7.03
440,z_8_flares_08_gal_002_alma.fits,5.57
441,z_5_flares_05_gal_167_alma.fits,6.86
442,z_8_flares_08_gal_010_alma.fits,3.98
443,z_6_flares_00_gal_057_alma.fits,8.23
444,z_5_flares_13_gal_152_alma.fits,13.62
445,z_5_flares_03_gal_157_alma.fits,14.14
446,z_6_flares_11_gal_041_alma.fits,5.24
447,z_5_flares_07_gal_038_alma.fits,4.26
448,z_8_flares_08_gal_003_alma.fits,3.62
449,z_8_flares_07_gal_000_alma.fits,4.28
450,z_6_flares_00_gal_005_alma.fits,3.48
451,z_6_flares_22_gal_001_alma.fits,3.45
452,z_6_flares_05_gal_037_alma.fits,11.1
453,z_5_flares_14_gal_065_alma.fits,15.19
454,z_5_flares_15_gal_071_alma.fits,3.85
455,z_9_flares_03_gal_003_alma.fits,3.37
456,z_5_flares_10_gal_014_alma.fits,6.92
457,z_5_flares_09_gal_130_alma.fits,6.37
458,z_5_flares_02_gal_105_alma.fits,11.18
459,z_5_flares_14_gal_085_alma.fits,4.98
460,z_5_flares_08_gal_040_alma.fits,5.23
461,z_5_flares_18_gal_019_alma.fits,4.69
462,z_5_flares_03_gal_048_alma.fits,15.21
463,z_6_flares_03_gal_054_alma.fits,4.53
464,z_5_flares_15_gal_179_alma.fits,7.99
465,z_6_flares_09_gal_001_alma.fits,3.14
466,z_10_flares_05_gal_001_alma.fits,3.04
467,z_5_flares_03_gal_057_alma.fits,10.36
468,z_6_flares_04_gal_061_alma.fits,11.61
469,z_5_flares_14_gal_058_alma.fits,7.42
470,z_7_flares_35_gal_000_alma.fits,6.36
471,z_5_flares_21_gal_036_alma.fits,3.43
472,z_6_flares_06_gal_008_alma.fits,3.08
473,z_5_flares_21_gal_002_alma.fits,13.78
474,z_5_flares_05_gal_011_alma.fits,3.24
475,z_6_flares_06_gal_097_alma.fits,12.48
476,z_6_flares_08_gal_027_alma.fits,5.84
477,z_5_flares_04_gal_208_alma.fits,5.35
478,z_5_flares_14_gal_039_alma.fits,6.76
479,z_6_flares_06_gal_050_alma.fits,3.14
480,z_5_flares_32_gal_001_alma.fits,12.11
481,z_5_flares_02_gal_055_alma.fits,9.69
482,z_7_flares_08_gal_017_alma.fits,2.47
483,z_5_flares_14_gal_111_alma.fits,15.19
484,z_5_flares_06_gal_110_alma.fits,3.91
485,z_6_flares_05_gal_052_alma.fits,4.57
486,z_7_flares_02_gal_010_alma.fits,3.3
487,z_5_flares_12_gal_087_alma.fits,4.02
488,z_8_flares_18_gal_000_alma.fits,3.1
489,z_6_flares_04_gal_092_alma.fits,7.17
490,z_5_flares_03_gal_080_alma.fits,4.71
491,z_5_flares_13_gal_188_alma.fits,12.26
492,z_6_flares_05_gal_072_alma.fits,8.61
493,z_7_flares_04_gal_029_alma.fits,12.6
494,z_7_flares_13_gal_023_alma.fits,3.08
495,z_6_flares_09_gal_067_alma.fits,5.65
496,z_5_flares_16_gal_094_alma.fits,6.83
497,z_5_flares_22_gal_005_alma.fits,3.28
498,z_5_flares_10_gal_089_alma.fits,5.46
499,z_5_flares_07_gal_035_alma.fits,6.68
500,z_5_flares_18_gal_039_alma.fits,11.73
501,z_5_flares_15_gal_129_alma.fits,11.47
502,z_7_flares_06_gal_016_alma.fits,3.75
503,z_5_flares_08_gal_108_alma.fits,6.53
504,z_5_flares_02_gal_070_alma.fits,8.43
505,z_6_flares_16_gal_024_alma.fits,6.05
506,z_6_flares_20_gal_021_alma.fits,3.84
507,z_5_flares_00_gal_057_alma.fits,6.03
508,z_8_flares_05_gal_005_alma.fits,3.42
509,z_6_flares_08_gal_069_alma.fits,4.08
510,z_7_flares_10_gal_028_alma.fits,5.35
511,z_6_flares_14_gal_055_alma.fits,6.81
512,z_5_flares_15_gal_101_alma.fits,6.5
513,z_5_flares_33_gal_004_alma.fits,6.27
